"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"1","Afghanistan","3.6357522566596527","96",1.299657,3.99567897769214,5.08898954869422,9.00416850220756,"23.292407666124873","83","10","7.1999999999999993","102.2413598",1703.00075549153,"7.1028690904699774","96",16,9.248,"90.476190476190482","12.081798436418145","91","5.1864877102199225",47.2,"47.048490733627197","95","50","43","53","43","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"2","Albania","47.006110789863882","53",0.514689,17.7682442548864,25.4665108301208,30.9184258929576,"68.77830983488802","45","77","5.3","90.610618500000001",10060.782712246,"45.74119965262306","61",19,15.219,"93.548387096774192","49.01702375848636","24","59.722768496420045",57.7,"54.655698574253641","86","71","49","56.999999999999993","45","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"3","Argentina","57.550359354762996","31",6.559374,15.1079324099648,17.4903287714317,23.5982074054769,"79.001033748367519","20","90.7","10.4","108.69299640000001",15347,"59.36219986854681","40",21,16.591,"96.84210526315789","40.847185997548607","34","39.651567567567575",59.2,"61.673736923862684","66","87","41","78","52","pending","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"4","Armenia","51.144966609619978","43",0.493084,16.3396639573293,23.7771131218605,33.0688029434885,"75.116547494759317","32","100","6.9","93.167519600000006",7584.29062084436,"34.002048560567964","74",17,15.233,"90.322580645161281","62.061171765496702","9","83.742379862700247",61.7,"58.859385193753205","73","63","84","42","54","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"5","Australia","70.970909269452036","17",4.886935,20.388587362504,24.6247871869423,28.3106225982934,"53.492532884493357","62","83","33.4","65.379760437587493",41241.8941886558,"79.757645450290994","5",25,18.708,"95.50561797752809","62.482872019587582","8","85.392743902439037",61.5,"72.473058708241112","26","92","57.999999999999993","94","55.000000000000007","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"6","Austria","74.381542081783095","13",2.063717,24.1523345894114,32.3772346288178,37.0992283220144,"84.300051058765064","6","100","10","98",44911.4997696801,"72.67044256271538","19",24,17.989,"92.10526315789474","37.616191470283226","40","63.442254160363078",44.9,"82.681803123039927","2","93","81","94","66","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"7","Bangladesh","41.115694268074918","67",11.234736,6.97828578490342,11.5446061675706,21.5081270372202,"47.23796221766559","71","39.5","7.8","99.89293219999999",2953.89264874905,"37.690505623129198","71",18,13.81,"97.872340425531917","24.231373003574067","76","23.956461703267276",46.8,"67.507790908324012","41","50","86","70","69","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"8","Belarus","42.149281617101906","64",1.927403,20.2973706552753,25.175917806852,29.6622647419554,"65.067933816077513","50","93.5","18.399999999999999","73.003802300000004",16418.053643179,"28.563687929561691","84",19,13.6,"65.822784810126578","26.963837408391647","66","44.96520065156227",40.58,"67.149873078971595","44","84","61","64","62","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"9","Belgium","63.407629364985169","24",2.725372,24.1200609742714,29.4840464721356,32.5614412944412,"73.06666782213658","39","84.6","6.3","79",41450.3037458192,"68.690971592481944","30",23,17.481,"94.444444444444443","32.917335764755435","48","60.852437574316276",41.7,"73.376209799236946","24","89","55.000000000000007","94","63","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"10","Bolivia (Plurinational State of)","46.213840759372964","55",0.988304,9.21520918290993,11.3768204262031,16.9987478515895,"62.770781521051418","55","95","30.3","102.7747035",5297.21891649742,"46.387516245985537","59",19,15.24,"95.744680851063833","39.93456717171199","37","23.506499999999999",78.3,"57.108440213343862","78","66","34","79","60","pending","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"11","Brazil","46.156602051769767","56",24.391615,11.7353404366686,18.7520534289963,29.3288927869628,"81.495458556619468","13","86.3","8.7999999999999989","126.33058939999999",14103.1361159362,"57.43735407841541","43",21,16.084,"95.876288659793815","29.87293589446756","58","26.591495577457675",53.3,"54.587562748719812","87","87","28.000000000000004","81","45","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"12","Bulgaria","49.683222625483189","49",1.926025,26.9382150824913,30.1305746430256,36.4266628584889,"67.881385559407121","46","96.899999999999991","18.8","78.588046899999995",14953.1491010754,"40.004214912468939","68",19,14.487,"82.051282051282044","47.500449943756664","27","87.154025755879047",47.4,"59.819587216186029","69","83","51","55.000000000000007","55.000000000000007","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
